,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
295,Alta Floresta,BR,clear sky,74.8,-9.88,-56.09,Floresta Amazonica Hotel
301,Alofi,NU,overcast clouds,80.6,-19.06,-169.92,Taloa Heights
306,Caravelas,BR,clear sky,70.54,-17.71,-39.25,Pousada dos Navegantes
307,Manzhouli,CN,scattered clouds,74.12,49.6,117.43,Angala International Youth Hostel
308,Salinopolis,BR,few clouds,78.82,-0.61,-47.36,Hotel Salinópolis
310,Quatre Cocos,MU,few clouds,72.0,-20.21,57.76,Veranda Palmar Beach Hotel
313,Wahpeton,US,clear sky,87.8,46.27,-96.61,Select Inn Breckenridge
314,Morgan City,US,clear sky,87.01,29.7,-91.21,Hampton Inn & Suites Morgan City
318,Liku,ID,overcast clouds,77.05,-0.73,119.89,Agoes Liverpool
320,Osypenko,UA,clear sky,73.99,46.91,36.83,
321,Marsala,IT,few clouds,73.4,37.8,12.44,Villa Favorita Hotel e Resort
323,Douentza,ML,broken clouds,94.73,15.0,-2.95,Ogomono Doumbo
324,Hobyo,SO,overcast clouds,78.31,5.35,48.53,Osmani Hotel
326,Sabha,LY,clear sky,81.72,27.04,14.43,محطة ام الارانب -سبها مواصلات
327,Sompeta,IN,overcast clouds,82.67,18.93,84.6,V.B.R A/C Lodge And Function Hall
329,Hirara,JP,light intensity shower rain,86.0,24.8,125.28,Hotel Atoll Emerald Miyakojima
330,Bud,US,broken clouds,73.99,39.45,-86.18,Madsion Scouts Camp
331,Makakilo City,US,overcast clouds,84.2,21.35,-158.09,Marriott's Ko Olina Beach Club
334,Fuzhou,CN,overcast clouds,86.0,26.06,119.31,Shangri La Hotel Fuzhou
336,Miri,MY,scattered clouds,73.4,4.41,114.01,"Mega Hotel, Miri"
338,Virginia Beach,US,few clouds,89.01,36.85,-75.98,Hilton Virginia Beach Oceanfront
339,Pangkalanbuun,ID,overcast clouds,74.5,-2.68,111.62,Grand Kecubung Hotel
340,Pierre,US,few clouds,90.0,44.37,-100.35,Ramkota Hotel
341,Tivoli,IT,few clouds,70.0,41.96,12.8,Hotel Cristallo Relais
343,Carutapera,BR,broken clouds,75.42,-1.2,-46.02,Lidera
345,Osoyoos,CA,light intensity shower rain,80.6,49.03,-119.45,Watermark Beach Resort Hotel
346,Kirkwood,US,overcast clouds,82.4,38.58,-90.41,Holiday Inn St Louis SW - Route 66
347,Changtu,CN,clear sky,77.16,42.78,124.1,Ming Yang Inn
348,Kralendijk,BQ,scattered clouds,80.6,12.15,-68.27,Divi Flamingo Beach Resort & Casino
352,Birao,CF,clear sky,74.79,10.28,22.79,
353,San Andres,CO,thunderstorm with heavy rain,75.2,12.58,-81.7,Hotel Arena Blanca
354,Harper,LR,overcast clouds,76.17,4.38,-7.72,Screensaver
358,Balkanabat,TM,scattered clouds,74.48,39.51,54.37,Nebitchi Hotel
360,Harrison,US,scattered clouds,86.0,30.41,-89.04,Residence Inn by Marriott Gulfport-Biloxi Airport
362,Kampene,CD,few clouds,70.03,-3.6,26.67,
363,Yining,CN,overcast clouds,83.34,29.04,114.56,Xiushui Hotel
364,Garowe,SO,overcast clouds,79.54,8.41,48.48,Curubo Hotel
365,Loreto,MX,overcast clouds,78.55,22.27,-101.97,José de Jesús Velásquez mora
366,Crotone,IT,clear sky,74.39,39.09,17.12,Helios Hotel
372,Hailar,CN,scattered clouds,72.45,49.2,119.7,Holiday Inn & Suites Hulunbuir
373,Namtsy,RU,clear sky,75.2,62.72,129.67,"""Эңсиэли Киин"""
375,Zhigansk,RU,clear sky,74.59,66.77,123.37,Gostinichnyy Kompleks Aylgy
380,Pemangkat,ID,overcast clouds,76.21,1.17,108.97,Kost H.Syamsuddin
382,Dakoro,NE,scattered clouds,92.84,14.51,6.76,boukha ag ghamran
385,Rabak,SD,overcast clouds,87.28,13.18,32.74,فندق ربك Rabak Hotel
386,Naifaru,MV,broken clouds,82.94,5.44,73.37,Naifaru Residence Guest House
388,Morondava,MG,clear sky,70.65,-20.28,44.28,La Case Bambou
391,Tulum,MX,scattered clouds,87.8,20.22,-87.47,Kin Ha
393,Placerville,US,clear sky,93.99,38.73,-120.8,Historic Cary House Hotel
400,Nautla,MX,overcast clouds,84.58,20.22,-96.78,Casa Blanca
403,Hami,CN,clear sky,78.71,42.8,93.45,Laoyutang Resort
406,Mindelo,CV,few clouds,77.0,16.89,-24.98,Hotel Gaudi
407,Mandalgovi,MN,overcast clouds,71.78,45.76,106.27,В.Ганбат
408,Ust-Nera,RU,broken clouds,78.37,64.57,143.2,Hotel Ust-Nera
414,Kloulklubed,PW,overcast clouds,80.6,7.04,134.26,Storyboard Beach Resort
415,Seymchan,RU,scattered clouds,73.44,62.88,152.43,
416,Porto Novo,BJ,scattered clouds,80.6,6.5,2.6,Tour Eiffel Hotel Benin
421,Sola,VU,broken clouds,84.2,-13.88,167.55,Leumerus Bungalows
422,Ambulu,ID,overcast clouds,75.02,-8.35,113.61,Hotel Ambulu Jember
426,Samaro,PK,clear sky,86.0,25.28,69.4,M AFZAL GOURNAL STOR SAMARO
428,Mogadishu,SO,scattered clouds,77.95,2.04,45.34,Hotel Juba
434,Acapulco,MX,smoke,86.0,16.86,-99.89,HS Hotsson Smart Acapulco
437,Sakakah,SA,clear sky,84.2,29.97,40.21,Fakhamat Al Orjoana Apartment
438,Villa Bruzual,VE,broken clouds,75.7,9.33,-69.12,Hotel Turen
445,Alpena,US,scattered clouds,77.0,45.06,-83.43,Big Bear Lodge
448,Kapuskasing,CA,scattered clouds,77.0,49.42,-82.43,Park Inn Motel
451,Bubaque,GW,overcast clouds,81.68,11.28,-15.83,Casa Dora
453,Buraydah,SA,few clouds,86.0,26.33,43.98,Mövenpick Hotel Qassim
456,Ibra,OM,broken clouds,78.46,22.69,58.53,مزرعة راحة النفوس المنزفة
458,Erzin,TR,clear sky,73.0,36.96,36.2,Artemis Otel
462,Bom Jesus,BR,scattered clouds,74.64,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
464,Abnub,EG,clear sky,78.8,27.27,31.15,Romany Adly Gad
466,Inirida,CO,overcast clouds,75.52,3.87,-67.92,Fuente del Guania Hotel de Lujo
467,Goderich,CA,few clouds,77.0,43.75,-81.72,Harmony Inn
468,Olinda,BR,scattered clouds,77.0,-8.01,-34.86,Hotel 5 Sóis
470,Kristiansund,NO,clear sky,73.4,63.11,7.73,Thon Hotels Storgata
471,Dafeng,CN,broken clouds,81.73,23.45,108.59,Shenglong Hotel
473,Oum Hadjer,TD,scattered clouds,90.3,13.3,19.7,
474,Cayenne,GF,scattered clouds,78.8,4.93,-52.33,Hôtel Le Dronmi
477,Phan Thiet,VN,overcast clouds,79.02,10.93,108.1,Hotel Saigon-PT
483,Lazaro Cardenas,MX,broken clouds,85.64,17.96,-102.2,Hotel Quinta Antigua
485,Hasaki,JP,light intensity shower rain,72.0,35.73,140.83,Inubosaki Kanko Hotel
486,Kutum,SD,broken clouds,73.65,14.2,24.67,Dibbo areaمنطقة دبو
487,Saint Anthony,US,broken clouds,86.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
490,Miami,US,few clouds,89.6,25.77,-80.19,Kimpton EPIC Hotel
491,Bayshore Gardens,US,clear sky,89.6,27.43,-82.59,Ramada by Wyndham Sarasota
495,Tanout,NE,clear sky,90.79,14.97,8.89,
499,Sambava,MG,clear sky,70.68,-14.27,50.17,Melrose
