,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
277,Juneau,US,58.3,-134.42,62.6,59,75,4.7,broken clouds,0.0,0.0
278,Ranfurly,NZ,-45.13,170.1,43.0,98,100,1.77,light rain,0.76,0.0
279,Ust-Maya,RU,60.42,134.53,79.02,44,4,2.48,clear sky,0.0,0.0
280,Cedar City,US,37.68,-113.06,91.4,9,1,13.87,clear sky,0.0,0.0
281,Chokurdakh,RU,70.63,147.92,62.89,33,97,13.78,overcast clouds,0.0,0.0
282,Champasak,LA,14.75,106.0,76.91,96,95,1.7,light rain,0.19,0.0
283,Esso,RU,55.93,158.7,67.96,28,91,8.93,overcast clouds,0.0,0.0
284,Qasigiannguit,GL,68.82,-51.19,37.4,93,53,4.7,broken clouds,0.0,0.0
285,Necochea,AR,-38.55,-58.74,41.0,97,97,1.99,overcast clouds,0.0,0.0
286,Khandyga,RU,62.67,135.6,80.4,45,0,2.3,clear sky,0.0,0.0
287,Caluquembe,AO,-13.78,14.68,50.29,51,0,1.61,clear sky,0.0,0.0
288,Sur,OM,22.57,59.53,84.51,73,79,14.36,broken clouds,0.0,0.0
289,Korla,CN,41.76,86.15,81.0,78,53,3.0,broken clouds,0.0,0.0
290,Springdale,US,36.19,-94.13,86.0,62,40,10.29,haze,0.0,0.0
291,Mandan,US,46.83,-100.89,96.8,33,1,11.41,clear sky,0.0,0.0
292,Buala,SB,-8.14,159.59,83.21,73,80,5.39,light rain,0.54,0.0
293,Kawalu,ID,-7.38,108.21,72.05,90,69,0.98,broken clouds,0.0,0.0
294,Kibala,TD,9.11,18.35,76.33,71,7,1.95,light rain,0.19,0.0
295,Alta Floresta,BR,-9.88,-56.09,74.8,57,0,3.74,clear sky,0.0,0.0
296,Kokopo,PG,-4.35,152.26,83.68,71,81,12.53,light rain,0.86,0.0
297,Vila,PT,42.03,-8.16,60.01,93,74,3.0,broken clouds,0.0,0.0
298,Tchaourou,BJ,8.89,2.6,72.9,96,39,5.95,light rain,0.61,0.0
299,Kinango,KE,-4.14,39.32,68.76,97,13,5.86,few clouds,0.0,0.0
300,Sept-Iles,CA,50.2,-66.38,66.2,72,40,9.17,scattered clouds,0.0,0.0
